Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Price,Product Status,shipping date (DateOrders),Shipping Mode,Product Name,Index
PAYMENT,2,2,-81.79,111.58,Shipping on time,0,17,Cleats,Chicago,EE. UU.,XXXXXXXXX,Michael,763,Carpenter,XXXXXXXXX,Consumer,IL,3329 Green Butterfly Pines,60638,4,Apparel,41.9,-87.71,Africa,Mbandaka,Republica Democratica del Congo,763,42715,46686,365,8.399999619,0.07,116720,59.99,-0.73,2,119.98,111.58,-81.79,Central Africa,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,59.99,0,42688.49306,Second Class,Perfect Fitness Perfect Rip Deck,19
PAYMENT,2,2,99.74,284.97,Shipping on time,0,9,Cardio Equipment,Chicago,EE. UU.,XXXXXXXXX,Michael,763,Carpenter,XXXXXXXXX,Consumer,IL,3329 Green Butterfly Pines,60638,3,Footwear,41.9,-87.71,Africa,Mbandaka,Republica Democratica del Congo,763,42715,46686,191,15,0.05,116723,99.99,0.35,3,299.97,284.97,99.74,Central Africa,PENDING_PAYMENT,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,99.99,0,42688.49306,Second Class,Nike Men's Free 5.0+ Running Shoe,20
PAYMENT,2,2,74.25,148.5,Shipping on time,0,24,Women's Apparel,Chicago,EE. UU.,XXXXXXXXX,Michael,763,Carpenter,XXXXXXXXX,Consumer,IL,3329 Green Butterfly Pines,60638,5,Golf,41.9,-87.71,Africa,Mbandaka,Republica Democratica del Congo,763,42715,46686,502,1.5,0.01,116724,50,0.5,3,150,148.5,74.25,Central Africa,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,50,0,42688.49306,Second Class,Nike Men's Dri-FIT Victory Golf Polo,21
DEBIT,4,4,-146.99,97.99,Shipping on time,0,9,Cardio Equipment,Caguas,Puerto Rico,XXXXXXXXX,Joseph,8403,Smith,XXXXXXXXX,Corporate,PR,6502 Misty Forest,725,3,Footwear,18.28,-66.37,Africa,Mbandaka,Republica Democratica del Congo,8403,42715,46693,191,2,0.02,116745,99.99,-1.5,1,99.99,97.99,-146.99,Central Africa,COMPLETE,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,99.99,0,42690.59514,Standard Class,Nike Men's Free 5.0+ Running Shoe,22
DEBIT,6,2,76.43,293.98,Late delivery,1,43,Camping & Hiking,Tampa,EE. UU.,XXXXXXXXX,Mary,11523,Mayer,XXXXXXXXX,Consumer,FL,9173 Little River Place,33624,7,Fan Shop,28.1,-82.51,Africa,Mbandaka,Republica Democratica del Congo,11523,42715,46685,957,6,0.02,116719,299.98,0.26,1,299.98,293.98,76.43,Central Africa,COMPLETE,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,299.98,0,42692.47847,Second Class,Diamondback Women's Serene Classic Comfort Bi,23
DEBIT,6,2,23.69,50.4,Late delivery,1,29,Shop By Sport,Tampa,EE. UU.,XXXXXXXXX,Mary,11523,Mayer,XXXXXXXXX,Consumer,FL,9173 Little River Place,33624,5,Golf,28.1,-82.51,Africa,Mbandaka,Republica Democratica del Congo,11523,42715,46685,642,9.600000381,0.16,116717,30,0.47,2,60,50.4,23.69,Central Africa,COMPLETE,,642,29,,http://images.acmesports.sports/Columbia+Men%27s+PFG+Anchor+Tough+T-Shirt,30,0,42692.47847,Second Class,Columbia Men's PFG Anchor Tough T-Shirt,24
DEBIT,6,2,64.9,192,Late delivery,1,24,Women's Apparel,Tampa,EE. UU.,XXXXXXXXX,Mary,11523,Mayer,XXXXXXXXX,Consumer,FL,9173 Little River Place,33624,5,Golf,28.1,-82.51,Africa,Mbandaka,Republica Democratica del Congo,11523,42715,46685,502,8,0.04,116716,50,0.34,4,200,192,64.9,Central Africa,COMPLETE,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,50,0,42692.47847,Second Class,Nike Men's Dri-FIT Victory Golf Polo,25
DEBIT,6,2,141.1,293.95,Late delivery,1,17,Cleats,Tampa,EE. UU.,XXXXXXXXX,Mary,11523,Mayer,XXXXXXXXX,Consumer,FL,9173 Little River Place,33624,4,Apparel,28.1,-82.51,Africa,Mbandaka,Republica Democratica del Congo,11523,42715,46685,365,6,0.02,116718,59.99,0.48,5,299.95,293.95,141.1,Central Africa,COMPLETE,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,59.99,0,42692.47847,Second Class,Perfect Fitness Perfect Rip Deck,26
DEBIT,5,4,-24.6,113.38,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Matthew,1826,Smith,XXXXXXXXX,Corporate,PR,3150 Noble Walk,725,4,Apparel,18.22,-66.37,Africa,Mbandaka,Republica Democratica del Congo,1826,42715,46689,365,6.599999905,0.06,116732,59.99,-0.22,2,119.98,113.38,-24.6,Central Africa,COMPLETE,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,59.99,0,42691.53681,Standard Class,Perfect Fitness Perfect Rip Deck,27
TRANSFER,3,4,56.78,167.99,Advance shipping,0,48,Water Sports,Brooklyn,EE. UU.,XXXXXXXXX,William,6176,Garza,XXXXXXXXX,Home Office,NY,9634 Bright Robin Circle,11211,7,Fan Shop,40.71,-73.96,Africa,Mbandaka,Republica Democratica del Congo,6176,42715,46692,1073,32,0.16,116742,199.99,0.34,1,199.99,167.99,56.78,Central Africa,PROCESSING,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,199.99,0,42689.58056,Standard Class,Pelican Sunstream 100 Kayak,28
TRANSFER,3,2,59.76,165.99,Late delivery,1,48,Water Sports,Lombard,EE. UU.,XXXXXXXXX,Victoria,12355,Smith,XXXXXXXXX,Consumer,IL,8569 Emerald Blossom Concession,60148,7,Fan Shop,41.85,-88.01,Africa,Mbandaka,Republica Democratica del Congo,12355,42715,46687,1073,34,0.17,116726,199.99,0.36,1,199.99,165.99,59.76,Central Africa,PROCESSING,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,199.99,0,42689.50764,Second Class,Pelican Sunstream 100 Kayak,29
DEBIT,6,4,60.25,165.99,Late delivery,1,48,Water Sports,Caguas,Puerto Rico,XXXXXXXXX,Sarah,5728,Montoya,XXXXXXXXX,Home Office,PR,8736 Merry Extension,725,7,Fan Shop,18.23,-66.37,Africa,Mbandaka,Republica Democratica del Congo,5728,,45290,1073,34,0.17,113164,199.99,0.36,1,199.99,165.99,60.25,Central Africa,COMPLETE,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,199.99,0,42672.11458,Standard Class,Pelican Sunstream 100 Kayak,30
CASH,0,0,-14.99,149.94,Shipping on time,0,46,Indoor/Outdoor Games,Longmont,EE. UU.,XXXXXXXXX,Roger,11068,Smith,XXXXXXXXX,Consumer,CO,2088 Misty Woods,80501,7,Fan Shop,40.19,-105.1,Africa,Mbandaka,Republica Democratica del Congo,11068,,42544,1014,49.97999954,0.25,106207,49.98,-0.1,4,199.92,149.94,-14.99,Central Africa,CLOSED,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,49.98,0,42626.52917,Same Day,O'Brien Men's Neoprene Life Vest,31
CASH,0,0,26.94,97.96,Shipping on time,0,46,Indoor/Outdoor Games,Longmont,EE. UU.,XXXXXXXXX,Roger,11068,Smith,XXXXXXXXX,Consumer,CO,2088 Misty Woods,80501,7,Fan Shop,40.19,-105.1,Africa,Mbandaka,Republica Democratica del Congo,11068,,42544,1014,2,0.02,106206,49.98,0.28,2,99.96,97.96,26.94,Central Africa,CLOSED,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,49.98,0,42626.52917,Same Day,O'Brien Men's Neoprene Life Vest,32
DEBIT,4,4,11.9,191.92,Shipping on time,0,46,Indoor/Outdoor Games,Caguas,Puerto Rico,XXXXXXXXX,Joseph,8403,Smith,XXXXXXXXX,Corporate,PR,6502 Misty Forest,725,7,Fan Shop,18.28,-66.37,Africa,Mbandaka,Republica Democratica del Congo,8403,42715,46693,1014,8,0.04,116746,49.98,0.06,4,199.92,191.92,11.9,Central Africa,COMPLETE,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,49.98,0,42690.59514,Standard Class,O'Brien Men's Neoprene Life Vest,33
CASH,2,4,-1.45,49.98,Advance shipping,0,46,Indoor/Outdoor Games,Caguas,Puerto Rico,XXXXXXXXX,Alexander,361,Shaw,XXXXXXXXX,Consumer,PR,6183 Tawny Elk Concession,725,7,Fan Shop,18.25,-66.03,Africa,Mbandaka,Republica Democratica del Congo,361,42715,46691,1014,0,0,116741,49.98,-0.03,1,49.98,49.98,-1.45,Central Africa,CLOSED,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,49.98,0,42688.56597,Standard Class,O'Brien Men's Neoprene Life Vest,34
PAYMENT,2,2,-37.57,48.98,Shipping on time,0,46,Indoor/Outdoor Games,Chicago,EE. UU.,XXXXXXXXX,Michael,763,Carpenter,XXXXXXXXX,Consumer,IL,3329 Green Butterfly Pines,60638,7,Fan Shop,41.9,-87.71,Africa,Mbandaka,Republica Democratica del Congo,763,42715,46686,1014,1,0.02,116721,49.98,-0.77,1,49.98,48.98,-37.57,Central Africa,PENDING_PAYMENT,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,49.98,0,42688.49306,Second Class,O'Brien Men's Neoprene Life Vest,35
DEBIT,6,2,93.06,244.9,Late delivery,1,46,Indoor/Outdoor Games,Tampa,EE. UU.,XXXXXXXXX,Mary,11523,Mayer,XXXXXXXXX,Consumer,FL,9173 Little River Place,33624,7,Fan Shop,28.1,-82.51,Africa,Mbandaka,Republica Democratica del Congo,11523,42715,46685,1014,5,0.02,116715,49.98,0.38,5,249.9,244.9,93.06,Central Africa,COMPLETE,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,49.98,0,42692.47847,Second Class,O'Brien Men's Neoprene Life Vest,36
TRANSFER,3,2,145.52,296.98,Late delivery,1,43,Camping & Hiking,Lombard,EE. UU.,XXXXXXXXX,Victoria,12355,Smith,XXXXXXXXX,Consumer,IL,8569 Emerald Blossom Concession,60148,7,Fan Shop,41.85,-88.01,Africa,Mbandaka,Republica Democratica del Congo,12355,42715,46687,957,3,0.01,116727,299.98,0.49,1,299.98,296.98,145.52,Central Africa,PROCESSING,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,299.98,0,42689.50764,Second Class,Diamondback Women's Serene Classic Comfort Bi,37
CASH,4,4,5.82,77.56,Shipping on time,0,36,Golf Balls,Caguas,Puerto Rico,XXXXXXXXX,Mary,4056,Smith,XXXXXXXXX,Home Office,PR,7988 Red Boulevard,725,6,Outdoors,18.27,-66.37,Africa,Mbandaka,Republica Democratica del Congo,4056,,42543,804,2.400000095,0.03,106204,19.99,0.08,4,79.96,77.56,5.82,Central Africa,CLOSED,,804,36,,http://images.acmesports.sports/Glove+It+Women%27s+Imperial+Golf+Glove,19.99,0,42630.01458,Standard Class,Glove It Women's Imperial Golf Glove,38
DEBIT,4,4,-64,319.98,Shipping on time,0,45,Fishing,Caguas,Puerto Rico,XXXXXXXXX,Joseph,8403,Smith,XXXXXXXXX,Corporate,PR,6502 Misty Forest,725,7,Fan Shop,18.28,-66.37,Africa,Mbandaka,Republica Democratica del Congo,8403,42715,46693,1004,80,0.2,116747,399.98,-0.2,1,399.98,319.98,-64,Central Africa,COMPLETE,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,399.98,0,42690.59514,Standard Class,Field & Stream Sportsman 16 Gun Fire Safe,39
DEBIT,6,4,24,299.99,Late delivery,1,45,Fishing,Caguas,Puerto Rico,XXXXXXXXX,Jacqueline,754,Smith,XXXXXXXXX,Consumer,PR,529 Blue Grove Rise,725,7,Fan Shop,18.23,-66.05,Africa,Mbandaka,Republica Democratica del Congo,754,42715,46690,1004,100,0.25,116735,399.98,0.08,1,399.98,299.99,24,Central Africa,COMPLETE,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,399.98,0,42692.55139,Standard Class,Field & Stream Sportsman 16 Gun Fire Safe,40
DEBIT,5,4,111.99,399.98,Late delivery,1,45,Fishing,Caguas,Puerto Rico,XXXXXXXXX,Matthew,1826,Smith,XXXXXXXXX,Corporate,PR,3150 Noble Walk,725,7,Fan Shop,18.22,-66.37,Africa,Mbandaka,Republica Democratica del Congo,1826,42715,46689,1004,0,0,116733,399.98,0.28,1,399.98,399.98,111.99,Central Africa,COMPLETE,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,399.98,0,42691.53681,Standard Class,Field & Stream Sportsman 16 Gun Fire Safe,41
DEBIT,3,4,42.24,383.98,Advance shipping,0,45,Fishing,Meridian,EE. UU.,XXXXXXXXX,Carl,7123,Smith,XXXXXXXXX,Consumer,ID,4502 Hazy Run,83642,7,Fan Shop,43.56,-116.39,Africa,Mbandaka,Republica Democratica del Congo,7123,,45292,1004,16,0.04,113170,399.98,0.11,1,399.98,383.98,42.24,Central Africa,COMPLETE,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,399.98,0,42669.14375,Standard Class,Field & Stream Sportsman 16 Gun Fire Safe,42
DEBIT,6,4,-45.69,191.98,Late delivery,1,9,Cardio Equipment,Caguas,Puerto Rico,XXXXXXXXX,Sarah,5728,Montoya,XXXXXXXXX,Home Office,PR,8736 Merry Extension,725,3,Footwear,18.23,-66.37,Africa,Mbandaka,Republica Democratica del Congo,5728,,45290,191,8,0.04,113165,99.99,-0.24,2,199.98,191.98,-45.69,Central Africa,COMPLETE,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,99.99,0,42672.11458,Standard Class,Nike Men's Free 5.0+ Running Shoe,43
DEBIT,6,4,-395.18,254.96,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Sarah,5728,Montoya,XXXXXXXXX,Home Office,PR,8736 Merry Extension,725,4,Apparel,18.23,-66.37,Africa,Mbandaka,Republica Democratica del Congo,5728,,45290,365,44.99000168,0.15,113163,59.99,-1.55,5,299.95,254.96,-395.18,Central Africa,COMPLETE,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,59.99,0,42672.11458,Standard Class,Perfect Fitness Perfect Rip Deck,44
TRANSFER,4,4,41.43,110.49,Shipping canceled,0,18,Men's Footwear,Caguas,Puerto Rico,XXXXXXXXX,Mary,1613,Smith,XXXXXXXXX,Consumer,PR,3307 Broad Beacon Wood,725,4,Apparel,18.2,-66.37,Africa,Mbandaka,Republica Democratica del Congo,1613,42715,46688,403,19.5,0.15,116729,129.99,0.38,1,129.99,110.49,41.43,Central Africa,SUSPECTED_FRAUD,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,129.99,0,42690.52222,Standard Class,Nike Men's CJ Elite 2 TD Football Cleat,45
